"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","Total Population","Average Family Income","   Unemployed","Break & Enters","Robberies","   Chinese","   Korean","   Japanese"
"West Humber-Clairville",1.0,"N/A",32890.0,33312.0,72820.0,1705.0,131.0,82.0,470.0,60.0,60.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32830.0,32954.0,57411.0,1785.0,34.0,81.0,285.0,70.0,10.0
"Thistletown-Beaumond Heights",3.0,"N/A",10125.0,10360.0,70838.0,525.0,23.0,12.0,110.0,40.0,15.0
"Rexdale-Kipling",4.0,"N/A",10360.0,10529.0,69367.0,600.0,16.0,15.0,165.0,10.0,35.0
"Elms-Old Rexdale",5.0,"N/A",9445.0,9456.0,61196.0,465.0,9.0,14.0,105.0,105.0,15.0
"Kingsview Village-The Westway",6.0,"N/A",21980.0,22000.0,68145.0,1020.0,34.0,22.0,410.0,210.0,35.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22150.0,22156.0,79241.0,920.0,32.0,38.0,515.0,410.0,90.0
"Humber Heights-Westmount",8.0,"N/A",10115.0,10948.0,81267.0,380.0,24.0,8.0,100.0,135.0,0.0
"Edenbridge-Humber Valley",9.0,"N/A",15190.0,15535.0,119581.0,510.0,46.0,3.0,370.0,270.0,100.0
"Princess-Rosethorn",10.0,"N/A",11045.0,11051.0,144943.0,355.0,33.0,20.0,500.0,220.0,55.0
"Eringate-Centennial-West Deane",11.0,"N/A",18525.0,18588.0,88741.0,750.0,28.0,15.0,790.0,390.0,100.0
"Markland Wood",12.0,"N/A",10455.0,10554.0,100337.0,335.0,18.0,8.0,260.0,245.0,40.0
"Etobicoke West Mall",13.0,"N/A",11465.0,11848.0,67704.0,505.0,13.0,3.0,335.0,295.0,30.0
"Islington-City Centre West",14.0,"N/A",43225.0,43965.0,87747.0,1870.0,104.0,33.0,1875.0,1620.0,195.0
"Kingsway South",15.0,"N/A",9165.0,9271.0,191204.0,360.0,27.0,8.0,300.0,135.0,45.0
"Stonegate-Queensway",16.0,"N/A",24900.0,25051.0,100867.0,935.0,50.0,12.0,565.0,230.0,150.0
"Mimico",17.0,"N/A",33310.0,33964.0,87901.0,1305.0,47.0,8.0,1635.0,515.0,200.0
"New Toronto",18.0,"N/A",11290.0,11463.0,70398.0,565.0,41.0,15.0,340.0,50.0,65.0
"Long Branch",19.0,"N/A",10070.0,10084.0,77549.0,440.0,28.0,6.0,200.0,15.0,20.0
"Alderwood",20.0,"N/A",12025.0,12054.0,83584.0,415.0,26.0,8.0,275.0,65.0,35.0
"Humber Summit",21.0,"N/A",12405.0,12416.0,65757.0,555.0,39.0,19.0,135.0,45.0,0.0
"Humbermede",22.0,"N/A",15535.0,15545.0,59697.0,780.0,23.0,22.0,375.0,65.0,35.0
"Pelmo Park-Humberlea",23.0,"N/A",10720.0,10722.0,76800.0,355.0,24.0,10.0,230.0,30.0,20.0
"Black Creek",24.0,"N/A",21565.0,21737.0,52499.0,1180.0,27.0,28.0,765.0,40.0,30.0
"Glenfield-Jane Heights",25.0,"N/A",30210.0,30491.0,56582.0,1550.0,28.0,59.0,1170.0,10.0,10.0
"Downsview-Roding-CFB",26.0,"N/A",35010.0,35052.0,61994.0,1420.0,53.0,49.0,780.0,130.0,50.0
"York University Heights",27.0,"N/A",27570.0,27593.0,59770.0,1585.0,96.0,57.0,1500.0,390.0,30.0
"Rustic",28.0,"N/A",9755.0,9941.0,59004.0,375.0,15.0,6.0,135.0,0.0,0.0
"Maple Leaf",29.0,"N/A",9865.0,10111.0,68718.0,415.0,17.0,4.0,140.0,45.0,20.0
"Brookhaven-Amesbury",30.0,"N/A",17705.0,17757.0,60364.0,915.0,31.0,25.0,450.0,50.0,10.0
"Yorkdale-Glen Park",31.0,"N/A",14030.0,14804.0,70539.0,580.0,64.0,19.0,850.0,55.0,40.0
"Englemount-Lawrence",32.0,"N/A",21880.0,22372.0,86616.0,955.0,59.0,42.0,390.0,175.0,25.0
"Clanton Park",33.0,"N/A",16420.0,16472.0,89550.0,565.0,41.0,7.0,500.0,175.0,50.0
"Bathurst Manor",34.0,"N/A",15580.0,15873.0,76914.0,620.0,34.0,8.0,655.0,305.0,35.0
"Westminster-Branson",35.0,"N/A",26120.0,26274.0,62791.0,1290.0,19.0,9.0,775.0,925.0,105.0
